City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
539,Lagoa,PT,67.33,clear sky,39.05,-27.9833,Casa Das Faias
545,Mbaiki,CF,70.23,broken clouds,3.8678,17.9892,Motel MBM
548,Port-Gentil,GA,75.6,moderate rain,-0.7193,8.7815,Fengshui Residence
550,Saint-Pierre,RE,71.28,few clouds,-21.3393,55.4781,Lindsey Hôtel
553,Monte Alegre De Sergipe,BR,74.91,clear sky,-10.0272,-37.5622,Pousada Sebastiana
555,Virginia Beach,US,71.02,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
559,Azul,AR,64.74,broken clouds,-36.777,-59.8585,Cabañas Dulcinea
560,Touho,NC,75.09,few clouds,-20.7833,165.2333,Auberge Timay Evasion
561,Seoni Malwa,IN,66.97,clear sky,22.45,77.4667,hotel naman residency
563,Nalut,LY,64.87,clear sky,30.3333,10.85,
564,Samaro,PK,76.44,clear sky,25.2815,69.3965,Rano Mal gold simth
566,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
567,Giddalur,IN,70.5,scattered clouds,15.35,78.9167,Shivaji Lodge
568,Kaeo,NZ,69.51,scattered clouds,-35.1,173.7833,Bushido Lodge
569,Grand Gaube,MU,72.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
570,Jieshi,CN,70.95,overcast clouds,22.8134,115.8257,Yuehai Hotel
571,Alipur,PK,67.95,clear sky,29.3846,70.9116,"Green City Executive 1 Alipur, Muzaffargarh"
572,Mehran,IR,68.74,clear sky,33.1222,46.1646,بوتیک زنانه بهار
573,Cascas,PE,71.38,overcast clouds,-7.4833,-78.8167,Hotel *ROSA ERMILA*
580,Trelew,AR,66.02,overcast clouds,-43.249,-65.3051,Hotel Touring Club
590,Rawson,AR,64.26,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
591,Tshikapa,CD,70.56,overcast clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
595,Saurimo,AO,64.02,scattered clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
597,Baghdad,IQ,60.71,clear sky,33.3406,44.4009,Baghdad Hotel
602,Hualmay,PE,64.15,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
603,Meulaboh,ID,74.66,overcast clouds,4.1363,96.1285,Kost Pria
608,Byron Bay,AU,74.71,overcast clouds,-28.65,153.6167,Backpackers Inn on the Beach
609,Kilindoni,TZ,78.69,broken clouds,-7.9139,39.6668,Bustani B&B
615,Wamba,NG,76.28,broken clouds,8.9333,8.6,Roma Zee Guest House Annex
617,Martapura,ID,75.29,fog,-3.4167,114.85,Montana Hotel Syariah
618,Richards Bay,ZA,63.32,moderate rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
619,Toppenish,US,61.86,broken clouds,46.3774,-120.3087,Quality Inn & Suites Toppenish - Yakima Valley
624,Victor Harbor,AU,72.72,few clouds,-35.5667,138.6167,McCracken Country Club
625,Wilmington,US,71.85,scattered clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
628,Safaga,EG,75.06,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
635,Bukama,CD,69.17,overcast clouds,-9.2,25.85,
637,Marang,MY,76.91,broken clouds,5.2056,103.2059,DBarakah Homestay
